Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service
1S31WDMD,68.78,,continue,manual
1S33NAMD,68.78,,continue,manual
1S33RGMD,68.78,,continue,manual
1S33RGXS,68.78,,continue,manual
1S33SNMD,68.78,,continue,manual
1S33SNSH,68.78,,continue,manual
1S33SRMD,68.78,,continue,manual
1S33SRSH,68.78,,continue,manual
1S33SRXS,68.78,,continue,manual
1S33SWLG,68.78,,continue,manual
1S33SWMD,68.78,,continue,manual
1S33SWSH,68.78,,continue,manual
1S33WDMD,68.78,,continue,manual
1S35NAMD,68.78,,continue,manual
1S35RGMD,68.78,,continue,manual
1S35RGXS,68.78,,continue,manual
1S35SNMD,68.78,,continue,manual
1S35SNSH,68.78,,continue,manual
1S35SRMD,68.78,,continue,manual
1S35SRSH,68.78,,continue,manual
1S35SRXS,68.78,,continue,manual
1S35SWLG,68.78,,continue,manual
1S35SWMD,68.78,,continue,manual
1S35SWSH,68.78,,continue,manual
1S35WDMD,68.78,,continue,manual
1S3SNAMD,68.78,,continue,manual
1S3SNASH,68.78,,continue,manual
1S3SRGMD,68.78,,continue,manual
1S3SRGSH,68.78,,continue,manual
1S3SRGXS,68.78,,continue,manual
1S3SWDMD,68.78,,continue,manual
1S3SWDSH,68.78,,continue,manual
453A30=1,263.95,,continue,manual
453A30=1-0,263.95,,continue,manual
453A30=1-7,263.95,,continue,manual
453A30=2,263.95,,continue,manual
453A30=2-0,263.95,,continue,manual
453A30=2-7,263.95,,continue,manual
453A30=3,263.95,,continue,manual
453A30=3-0,263.95,,continue,manual
453A30=3-7,263.95,,continue,manual
AKC-2634-E,571.20,,continue,manual
AKC-2636-E,571.20,,continue,manual
AKC-2637-E,571.20,,continue,manual
AKC-2638-E,571.20,,continue,manual
AKL-2634-X,700.35,,continue,manual
AKL-2636-X,700.35,,continue,manual
AKL-2637-X,700.35,,continue,manual
AKL-2638-X,700.35,,continue,manual
ALC-5130-E,571.20,,continue,manual
ALC-5133-E,571.20,,continue,manual
ALC-5134-E,571.20,,continue,manual
ALC-5136-E,571.20,,continue,manual
ALC-5137-E,571.20,,continue,manual
ALC-5138-E,571.20,,continue,manual
ALC-5160-E,571.20,,continue,manual
ALC-5163-E,571.20,,continue,manual
