Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
alpha-classic-ak-cushion-liner,Alpha Classic Above-Knee Cushion Liner,"<h4>Product Overview</h4><p>The Alpha&reg; Classic Above-Knee (AK) Cushion Liner is designed for transfemoral prosthesis users seeking enhanced distal protection and adaptive pressure management.</p><p>The AK profile incorporates 9 mm of gel distally, tapering to 3 mm proximally, with an integrated gel pad that cushions the distal lateral femur. This configuration helps protect sensitive distal anatomy while accommodating uneven socket pressures.</p><p>Constructed from thermoplastic elastomer (TPE) enriched with medical-grade mineral oil and Vitamin E, the Classic Gel formulation features high flow and low rebound properties. The gel adapts dynamically to pressure changes while maintaining its shape over time.</p><p>This cushion version utilizes Spirit fabric, offering flexibility during donning and doffing and compatibility with Velcro&reg;-type suspension systems.</p><h4>Key Features &amp; Benefits</h4><ul><li>Designed for transfemoral (AK) prosthesis users</li><li>9 mm distal gel pad for femur protection</li><li>Gel tapers to 3 mm proximally</li><li>Mineral-oil&ndash;based gel with Vitamin E</li><li>High-flow gel adapts to socket pressures</li><li>Low rebound maintains consistent cushioning</li><li>Spirit fabric allows flexibility and secure suspension</li><li>Heat moldable for prosthetic adjustments</li><li>Latex-free and hypoallergenic</li><li>Made in the USA</li></ul><h4>Specifications</h4><ul><li>Profile: Above-Knee (AK)</li><li>Gel Thickness: 9 mm distal &rarr; 3 mm proximal</li><li>Fabric: Spirit</li><li>Suspension: Cushion (non-locking)</li><li>Color: Buff</li></ul><h4>Measuring Guide</h4><ul><li>Measure circumference at 4 cm from the distal end of the residual limb</li><li>Measure at 30 cm from the distal end</li><li>Confirm sizing with your prosthetist</li></ul><h4>Care Instructions</h4><ul><li>Clean gel side daily with lukewarm water and pH-balanced prosthetic cleanser</li><li>Do not scrub gel or fabric surfaces</li><li>Rinse thoroughly and dry with a lint-free cloth</li><li>Disinfect weekly using ethyl alcohol spray, rinse, and dry</li></ul>",WillowWood,,Prosthetic Liner,"liner, cushion, above-knee, ak, alpha, willowwood, prosthetic",TRUE,Size,Medium+,,,,,AKC-2634-E,500,,,continue,manual,571.20,,TRUE,TRUE,,https://willowwood.com/wp-content/uploads/2024/04/Alpha-Classic-AK-Cushion-Main-Image.png,1,Alpha Classic AK Cushion Liner - Main,FALSE,Alpha Classic Above-Knee Cushion Liner | AmpuMe,Shop Alpha Classic Above-Knee Cushion Liner at AmpuMe. Quality prosthetic supplies shipped to your door.,active
alpha-classic-ak-cushion-liner,,,,,,,,,Large,,,,,AKC-2636-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-ak-cushion-liner,,,,,,,,,X-Large,,,,,AKC-2637-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-ak-cushion-liner,,,,,,,,,Large+,,,,,AKC-2638-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-ak-cushion-liner,,,,,,,,,,,,,,,,,,continue,,,,,,,https://willowwood.com/wp-content/uploads/2024/04/Alpha-Classic-AK-Cushion-Buff-Image.png,2,Alpha Classic AK Cushion Liner - Buff,,,,
alpha-classic-ak-cushion-liner,,,,,,,,,,,,,,,,,,continue,,,,,,,https://willowwood.com/wp-content/uploads/2024/04/Alpha-Classic-AK-Cushion-Dark-Gray-Image.png,3,Alpha Classic AK Cushion Liner - Dark Gray,,,,
alpha-classic-ak-cushion-liner,,,,,,,,,,,,,,,,,,continue,,,,,,,https://willowwood.com/wp-content/uploads/2024/05/AK-Profile.webp,4,Above-Knee Liner Profile,,,,
alpha-classic-ak-locking-liner,Alpha Classic Above-Knee Locking Liner,"<h4>Product Overview</h4><p>The Alpha&reg; Classic Above-Knee (AK) Locking Liner is designed for transfemoral users who utilize a pin-lock suspension system.</p><p>It features a 9 mm distal to 3 mm proximal AK gel profile, providing enhanced distal femur cushioning and adaptive pressure distribution.</p><p>Constructed from thermoplastic elastomer (TPE) enriched with medical-grade mineral oil and Vitamin E, the Classic Gel formulation features high flow and low rebound properties.</p><p>This locking version uses MAX fabric (one-way stretch) to reduce vertical pistoning and enhance suspension stability within the socket.</p><h4>Key Features &amp; Benefits</h4><ul><li>Designed for transfemoral (AK) prosthesis users</li><li>9 mm distal gel pad for femur protection</li><li>Gel tapers to 3 mm proximally</li><li>Compatible with pin-lock suspension systems</li><li>MAX fabric reduces vertical pistoning</li><li>Mineral-oil&ndash;based gel with Vitamin E</li><li>High-flow gel adapts to pressure changes</li><li>Low rebound maintains shape</li><li>Heat moldable for prosthetic adjustments</li><li>Latex-free and hypoallergenic</li><li>Made in the USA</li></ul><h4>Specifications</h4><ul><li>Profile: Above-Knee (AK)</li><li>Gel Thickness: 9 mm distal &rarr; 3 mm proximal</li><li>Fabric: MAX (one-way stretch)</li><li>Suspension: Locking (pin compatible)</li><li>Color: Buff</li></ul><h4>Measuring Guide</h4><ul><li>Measure circumference at 4 cm and 30 cm from distal end</li><li>Confirm sizing with your prosthetist</li></ul><h4>Care Instructions</h4><ul><li>Clean daily with lukewarm water and pH-balanced cleanser</li><li>Do not scrub surfaces</li><li>Rinse thoroughly and dry completely</li><li>Disinfect weekly with ethyl alcohol spray</li></ul>",WillowWood,,Prosthetic Liner,"liner, locking, above-knee, ak, alpha, willowwood, prosthetic",TRUE,Size,Medium+,,,,,AKL-2634-X,500,,,continue,manual,700.35,,TRUE,TRUE,,https://willowwood.com/wp-content/uploads/2024/04/Alpha-Classic-AK-Locking-Main-Image.png,1,Alpha Classic AK Locking Liner - Main,FALSE,Alpha Classic Above-Knee Locking Liner | AmpuMe,Shop Alpha Classic Above-Knee Locking Liner at AmpuMe. Quality prosthetic supplies shipped to your door.,active
alpha-classic-ak-locking-liner,,,,,,,,,Large,,,,,AKL-2636-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-ak-locking-liner,,,,,,,,,X-Large,,,,,AKL-2637-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-ak-locking-liner,,,,,,,,,Large+,,,,,AKL-2638-X,500,,,continue,manual,700.35,,TRUE,TRUE,,,,,,,,
alpha-classic-ak-locking-liner,,,,,,,,,,,,,,,,,,continue,,,,,,,https://willowwood.com/wp-content/uploads/2024/04/Alpha-Classic-AK-Locking-Buff-Image.png,2,Alpha Classic AK Locking Liner - Buff,,,,
alpha-classic-ak-locking-liner,,,,,,,,,,,,,,,,,,continue,,,,,,,https://willowwood.com/wp-content/uploads/2024/04/Alpha-Classic-AK-Locking-Dark-Gray-Image.png,3,Alpha Classic AK Locking Liner - Dark Gray,,,,
alpha-classic-ak-locking-liner,,,,,,,,,,,,,,,,,,continue,,,,,,,https://willowwood.com/wp-content/uploads/2024/05/AK-Profile.webp,4,Above-Knee Liner Profile,,,,
alpha-classic-bk-cushion-liner,Alpha Classic Below-Knee Cushion Liner,"<h4>Product Overview</h4><p>The Alpha&reg; Classic Below-Knee (BK) Cushion Liner is designed for transtibial prosthesis users seeking adaptive pressure distribution and durable comfort.</p><p>Constructed from thermoplastic elastomer (TPE) enriched with medical-grade mineral oil and Vitamin E, the Classic Gel formulation features high flow and low rebound properties.</p><p>Below-knee liners are available in 3 mm, 6 mm, and 9 mm gel thickness options, with 3 mm thickness along the posterior (back) aspect of the liner.</p><h4>Key Features &amp; Benefits</h4><ul><li>Designed for transtibial (below-knee) prosthesis users</li><li>Available in 3 mm, 6 mm, and 9 mm gel thickness options</li><li>3 mm posterior thickness</li><li>Mineral-oil&ndash;based gel with Vitamin E</li><li>High-flow gel adapts to uneven socket pressures</li><li>Low rebound maintains shape consistency</li><li>Heat moldable for prosthetic customization</li><li>Compatible with other Alpha liners of same profile and thickness</li><li>Latex-free and hypoallergenic</li><li>Made in the USA</li></ul><h4>Fabric Options</h4><ul><li><strong>Original Fabric</strong> &ndash; Smooth finish, durable, supportive</li><li><strong>Spirit Fabric</strong> &ndash; Increased flexibility for easier donning and doffing</li><li><strong>MAX Fabric</strong> &ndash; Abrasion-resistant with unidirectional stretch to reduce pistoning</li></ul><h4>Specifications</h4><ul><li>Profile: Below-Knee (BK)</li><li>Suspension: Cushion (non-locking)</li><li>Available Gel Thicknesses: 3 mm, 6 mm, 9 mm</li><li>Posterior Thickness: 3 mm</li><li>Gel Type: Mineral-oil&ndash;based TPE</li></ul><h4>Measuring Guide</h4><ul><li>Measure circumference at 4 cm and 30 cm from distal end</li><li>Confirm sizing with your prosthetist</li></ul><h4>Care Instructions</h4><ul><li>Clean daily with lukewarm water and pH-balanced cleanser</li><li>Rinse and dry thoroughly</li><li>Disinfect weekly with ethyl alcohol spray</li><li>Do not scrub surfaces</li></ul>",WillowWood,,Prosthetic Liner,"liner, cushion, below-knee, bk, alpha, willowwood, prosthetic",TRUE,Fabric,Original,Thickness,3mm,Size,Medium,ALC-5130-E,500,,,continue,manual,571.20,,TRUE,TRUE,,https://willowwood.com/wp-content/uploads/2024/04/Alpha-Classic-BK-Cushion-Image.png,1,Alpha Classic BK Cushion Liner,FALSE,Alpha Classic Below-Knee Cushion Liner | AmpuMe,Shop Alpha Classic Below-Knee Cushion Liner at AmpuMe. Quality prosthetic supplies shipped to your door.,active
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,3mm,,Small,ALC-5133-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,3mm,,Medium+,ALC-5134-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,3mm,,Large,ALC-5136-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,3mm,,X-Large,ALC-5137-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,3mm,,Large+,ALC-5138-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,6mm,,Medium,ALC-5160-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,6mm,,Small,ALC-5163-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,6mm,,Medium+,ALC-5164-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,6mm,,Large,ALC-5166-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,6mm,,X-Large,ALC-5167-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,6mm,,Large+,ALC-5168-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,9mm,,Medium,ALC-5190-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,9mm,,Small,ALC-5193-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,9mm,,Medium+,ALC-5194-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,9mm,,Large,ALC-5196-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,9mm,,X-Large,ALC-5197-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Original,,9mm,,Large+,ALC-5198-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,3mm,,Medium,ALC-5430-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,3mm,,Small,ALC-5433-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,3mm,,Medium+,ALC-5434-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,3mm,,Large,ALC-5436-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,3mm,,X-Large,ALC-5437-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,3mm,,Large+,ALC-5438-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,6mm,,Medium,ALC-5460-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,6mm,,Medium+,ALC-5464-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,6mm,,Large,ALC-5466-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,6mm,,X-Large,ALC-5467-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,6mm,,Large+,ALC-5468-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,9mm,,Medium,ALC-5490-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,9mm,,Medium+,ALC-5494-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
alpha-classic-bk-cushion-liner,,,,,,,,,Spirit,,9mm,,Large,ALC-5496-E,500,,,continue,manual,571.20,,TRUE,TRUE,,,,,,,,
