Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
knit-rite-prosthetic-sock-pin-lock,Knit-Rite Prosthetic Socks for Pin Lock Systems (3-Pack),"<h4>Product Overview</h4>
<p>Knit-Rite prosthetic socks for pin lock suspension systems feature a distal hole to accommodate the pin mechanism on your liner. Worn over a prosthetic liner, these socks help manage daily limb volume changes while maintaining a comfortable, secure socket fit.</p>
<p>Available in multiple ply weights (Lightweight, 3-Ply, 5-Ply), lengths, and widths to allow precise volume management throughout the day.</p>
<h4>Key Features</h4>
<ul>
<li>Distal hole accommodates pin lock liner systems</li>
<li>Sold in convenient 3-packs</li>
<li>Available in Lightweight, 3-Ply, and 5-Ply options</li>
<li>Multiple lengths and widths for optimal fit</li>
<li>Soft, breathable knit construction</li>
<li>Helps manage daily limb volume fluctuations</li>
</ul>",Knit-Rite,,Prosthetic Sock,"sock, prosthetic, knit-rite, pin-lock, 3-pack",TRUE,Length,Medium,Ply,3-Ply,Width,Regular,1S33SRMD,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,https://www.spsco.com/media/catalog/product/1/s/1s3_sock_image_main.jpg,1,Knit-Rite Prosthetic Sock for Pin Lock Systems,FALSE,Knit-Rite Prosthetic Socks for Pin Lock Systems | AmpuMe,"Prosthetic socks with distal hole for pin lock suspension. Available in multiple ply weights, lengths, and widths. Sold in 3-packs.",active
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Medium,,3-Ply,Width,Wide,1S33SWMD,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Medium,,3-Ply,Width,Narrow,1S33SNMD,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Medium,,5-Ply,Width,Narrow,1S35SNMD,200,shopify,0,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Medium,,5-Ply,Width,Regular,1S35SRMD,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Medium,,5-Ply,Width,Wide,1S35SWMD,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Medium,,Lightweight,Width,Narrow,1S3SNAMD,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Medium,,Lightweight,Width,Regular,1S3SRGMD,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Medium,,Lightweight,Width,Wide,1S3SWDMD,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Short,,3-Ply,Width,Regular,1S33SRSH,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Short,,3-Ply,Width,Wide,1S33SWSH,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Short,,3-Ply,Width,Narrow,1S33SNSH,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Short,,5-Ply,Width,Wide,1S35SWSH,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Short,,5-Ply,Width,Regular,1S35SRSH,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Short,,5-Ply,Width,Narrow,1S35SNSH,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
knit-rite-prosthetic-sock-pin-lock,,,,,,,,,Short,,Lightweight,Width,Regular,1S3SRGSH,200,shopify,10,deny,manual,52.40,,TRUE,TRUE,,,,,,,,
